==1330== NVPROF is profiling process 1330, command: ../../bin/mcx -A -g 10 -n 1e6 -f qtest.inp -s qtest -r 1 -a 0 -b 0 -G 1 -D P
==1330== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==1330== Profiling application: ../../bin/mcx -A -g 10 -n 1e6 -f qtest.inp -s qtest -r 1 -a 0 -b 0 -G 1 -D P
==1330== Profiling result:
==1330== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"inst_issued","Instructions Issued",3909522448,3909522448,3909522448
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"tex_utilization","Unified Cache Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"shared_efficiency","Shared Memory Efficiency",28.873843%,28.873843%,28.873843%
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"shared_utilization","Shared Memory Utilization","Low (2)","Low (2)","Low (2)"
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"inst_fp_32","FP Instructions(Single)",17624097926,17624097926,17624097926
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"inst_fp_64","FP Instructions(Double)",244474432,244474432,244474432
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"inst_integer","Integer Instructions",14040462680,14040462680,14040462680
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"inst_bit_convert","Bit-Convert Instructions",3613866826,3613866826,3613866826
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"inst_control","Control-Flow Instructions",2649259793,2649259793,2649259793
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"inst_compute_ld_st","Load/Store Instructions",2033561180,2033561180,2033561180
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"inst_misc","Misc Instructions",12343659607,12343659607,12343659607
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"inst_inter_thread_communication","Inter-Thread Instructions",6042,6042,6042
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"issue_slots","Issue Slots",3459267539,3459267539,3459267539
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"cf_issued","Issued Control-Flow Instructions",354207407,354207407,354207407
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"cf_executed","Executed Control-Flow Instructions",354207407,354207407,354207407
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"ldst_issued","Issued Load/Store Instructions",196152963,196152963,196152963
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"ldst_executed","Executed Load/Store Instructions",148997109,148997109,148997109
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"atomic_transactions","Atomic Transactions",64953001,64953001,64953001
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"atomic_transactions_per_request","Atomic Transactions Per Request",6.595054,6.595054,6.595054
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",15.842524%,15.842524%,15.842524%
"GeForce GTX 950 (0)","void mcx_main_loop<int=0>(unsigned char*, float*, float*, unsigned int*, float4*, float4*, float4*, float*, unsigned int*, float*, float*, float*, unsigned long*, float*, int volatile *)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",49.894564%,49.894564%,49.894564%
